8d9a114f-6bdc-4817-ae85-fa0786926141,-0.282749,-1.05795E-4,1.47938
8d9a114f-6bdc-4817-ae85-fa0786926141,6.13792,1.77011,0.55347
8d9a114f-6bdc-4817-ae85-fa0786926141,12.3541,3.49464,-0.341808
8d9a114f-6bdc-4817-ae85-fa0786926141,18.3799,5.16277,-1.20601
8d9a114f-6bdc-4817-ae85-fa0786926141,24.2253,6.781,-2.0444
8d9a114f-6bdc-4817-ae85-fa0786926141,29.9021,8.31364,-2.91033
8d9a114f-6bdc-4817-ae85-fa0786926141,35.4146,9.76857,-3.81898
8d9a114f-6bdc-4817-ae85-fa0786926141,40.7691,11.2026,-4.69502
8d9a114f-6bdc-4817-ae85-fa0786926141,45.9652,12.5917,-5.64584
8d9a114f-6bdc-4817-ae85-fa0786926141,51.024,13.9468,-6.54565
8d9a114f-6bdc-4817-ae85-fa0786926141,55.9401,15.2984,-7.42872
8d9a114f-6bdc-4817-ae85-fa0786926141,60.7438,16.5714,-8.22763
8d9a114f-6bdc-4817-ae85-fa0786926141,65.4365,17.7658,-9.01151
8d9a114f-6bdc-4817-ae85-fa0786926141,70.0037,18.943,-9.81468
8d9a114f-6bdc-4817-ae85-fa0786926141,74.4508,20.1189,-10.6097
8d9a114f-6bdc-4817-ae85-fa0786926141,78.7928,21.2339,-11.4282
8d9a114f-6bdc-4817-ae85-fa0786926141,83.0299,22.3532,-12.1831
8d9a114f-6bdc-4817-ae85-fa0786926141,87.1941,23.318,-12.9521
8d9a114f-6bdc-4817-ae85-fa0786926141,91.2635,24.2632,-13.6965
8d9a114f-6bdc-4817-ae85-fa0786926141,95.2604,25.132,-14.4056
8d9a114f-6bdc-4817-ae85-fa0786926141,99.1851,25.9232,-15.0893
8d9a114f-6bdc-4817-ae85-fa0786926141,103.025,26.7028,-15.7418
8d9a114f-6bdc-4817-ae85-fa0786926141,106.782,27.4343,-16.4032
8d9a114f-6bdc-4817-ae85-fa0786926141,110.435,28.1701,-17.0948
8d9a114f-6bdc-4817-ae85-fa0786926141,114.054,28.755,-17.7567
8d9a114f-6bdc-4817-ae85-fa0786926141,117.584,29.3539,-18.4145
8d9a114f-6bdc-4817-ae85-fa0786926141,121.05,29.8965,-19.0556
8d9a114f-6bdc-4817-ae85-fa0786926141,124.479,30.368,-19.6511
8d9a114f-6bdc-4817-ae85-fa0786926141,127.878,30.6821,-20.2115
8d9a114f-6bdc-4817-ae85-fa0786926141,131.189,31.0059,-20.7652
8d9a114f-6bdc-4817-ae85-fa0786926141,134.408,31.3077,-21.3465
8d9a114f-6bdc-4817-ae85-fa0786926141,137.624,31.4892,-21.8634
8d9a114f-6bdc-4817-ae85-fa0786926141,140.771,31.6311,-22.4194
